cut_blech_loafing_pest	-Blech, Loafing Pest +Oracle's Restoration
cut_emeritus_of_ideation	-Emeritus of Ideation +Oracle's Restoration
cut_environmental_scientist	-Environmental Scientist +Oracle's Restoration
cut_feed_the_swarm	-Feed the Swarm +Oracle's Restoration
cut_knockout_maneuver	-Knockout Maneuver +Oracle's Restoration
cut_proctor_s_gaze	-Proctor's Gaze +Oracle's Restoration
cut_professor_dellian_fel	-Professor Dellian Fel +Oracle's Restoration
cut_quandrix_charm	-Quandrix Charm +Oracle's Restoration
cut_rancorous_archaic	-Rancorous Archaic +Oracle's Restoration
cut_send_in_the_pest	-Send in the Pest +Oracle's Restoration
cut_shared_roots	-Shared Roots +Oracle's Restoration
cut_shopkeeper_s_bane	-Shopkeeper's Bane +Oracle's Restoration
cut_slumbering_trudge	-Slumbering Trudge +Oracle's Restoration
cut_snarl_song	-Snarl Song +Oracle's Restoration
cut_studious_first_year	-Studious First-Year +Oracle's Restoration
cut_sundering_archaic	-Sundering Archaic +Oracle's Restoration
cut_together_as_one	-Together as One +Oracle's Restoration
cut_vastlands_scavenger	-Vastlands Scavenger +Oracle's Restoration
cut_wander_off	-Wander Off +Oracle's Restoration
cut_witherbloom_charm	-Witherbloom Charm +Oracle's Restoration
