swap_shared_roots__shopkeeper_s_bane	-Shared Roots +Shopkeeper's Bane
swap_shared_roots__fractal_mascot	-Shared Roots +Fractal Mascot
swap_shared_roots__thornfist_striker	-Shared Roots +Thornfist Striker
swap_shared_roots__arnyn_deathbloom_botanist	-Shared Roots +Arnyn, Deathbloom Botanist
swap_shared_roots__sundering_archaic	-Shared Roots +Sundering Archaic
swap_shared_roots__spellbook_seeker	-Shared Roots +Spellbook Seeker
swap_shared_roots__ascendant_dustspeaker	-Shared Roots +Ascendant Dustspeaker
swap_shared_roots__soaring_stoneglider	-Shared Roots +Soaring Stoneglider
swap_shared_roots__pensive_professor	-Shared Roots +Pensive Professor
swap_proctor_s_gaze__shopkeeper_s_bane	-Proctor's Gaze +Shopkeeper's Bane
swap_proctor_s_gaze__fractal_mascot	-Proctor's Gaze +Fractal Mascot
swap_proctor_s_gaze__thornfist_striker	-Proctor's Gaze +Thornfist Striker
swap_proctor_s_gaze__arnyn_deathbloom_botanist	-Proctor's Gaze +Arnyn, Deathbloom Botanist
swap_proctor_s_gaze__sundering_archaic	-Proctor's Gaze +Sundering Archaic
swap_proctor_s_gaze__spellbook_seeker	-Proctor's Gaze +Spellbook Seeker
swap_proctor_s_gaze__ascendant_dustspeaker	-Proctor's Gaze +Ascendant Dustspeaker
swap_proctor_s_gaze__soaring_stoneglider	-Proctor's Gaze +Soaring Stoneglider
swap_proctor_s_gaze__pensive_professor	-Proctor's Gaze +Pensive Professor
swap_studious_first_year__shopkeeper_s_bane	-Studious First-Year +Shopkeeper's Bane
swap_studious_first_year__fractal_mascot	-Studious First-Year +Fractal Mascot
swap_studious_first_year__thornfist_striker	-Studious First-Year +Thornfist Striker
swap_studious_first_year__arnyn_deathbloom_botanist	-Studious First-Year +Arnyn, Deathbloom Botanist
swap_studious_first_year__sundering_archaic	-Studious First-Year +Sundering Archaic
swap_studious_first_year__spellbook_seeker	-Studious First-Year +Spellbook Seeker
swap_studious_first_year__ascendant_dustspeaker	-Studious First-Year +Ascendant Dustspeaker
swap_studious_first_year__soaring_stoneglider	-Studious First-Year +Soaring Stoneglider
swap_studious_first_year__pensive_professor	-Studious First-Year +Pensive Professor
swap_feed_the_swarm__shopkeeper_s_bane	-Feed the Swarm +Shopkeeper's Bane
swap_feed_the_swarm__fractal_mascot	-Feed the Swarm +Fractal Mascot
swap_feed_the_swarm__thornfist_striker	-Feed the Swarm +Thornfist Striker
swap_feed_the_swarm__arnyn_deathbloom_botanist	-Feed the Swarm +Arnyn, Deathbloom Botanist
swap_feed_the_swarm__sundering_archaic	-Feed the Swarm +Sundering Archaic
swap_feed_the_swarm__spellbook_seeker	-Feed the Swarm +Spellbook Seeker
swap_feed_the_swarm__ascendant_dustspeaker	-Feed the Swarm +Ascendant Dustspeaker
swap_feed_the_swarm__soaring_stoneglider	-Feed the Swarm +Soaring Stoneglider
swap_feed_the_swarm__pensive_professor	-Feed the Swarm +Pensive Professor
swap_together_as_one__shopkeeper_s_bane	-Together as One +Shopkeeper's Bane
swap_together_as_one__fractal_mascot	-Together as One +Fractal Mascot
swap_together_as_one__thornfist_striker	-Together as One +Thornfist Striker
swap_together_as_one__arnyn_deathbloom_botanist	-Together as One +Arnyn, Deathbloom Botanist
swap_together_as_one__sundering_archaic	-Together as One +Sundering Archaic
swap_together_as_one__spellbook_seeker	-Together as One +Spellbook Seeker
swap_together_as_one__ascendant_dustspeaker	-Together as One +Ascendant Dustspeaker
swap_together_as_one__soaring_stoneglider	-Together as One +Soaring Stoneglider
swap_together_as_one__pensive_professor	-Together as One +Pensive Professor
swap_send_in_the_pest__shopkeeper_s_bane	-Send in the Pest +Shopkeeper's Bane
swap_send_in_the_pest__fractal_mascot	-Send in the Pest +Fractal Mascot
swap_send_in_the_pest__thornfist_striker	-Send in the Pest +Thornfist Striker
swap_send_in_the_pest__arnyn_deathbloom_botanist	-Send in the Pest +Arnyn, Deathbloom Botanist
swap_send_in_the_pest__sundering_archaic	-Send in the Pest +Sundering Archaic
swap_send_in_the_pest__spellbook_seeker	-Send in the Pest +Spellbook Seeker
swap_send_in_the_pest__ascendant_dustspeaker	-Send in the Pest +Ascendant Dustspeaker
swap_send_in_the_pest__soaring_stoneglider	-Send in the Pest +Soaring Stoneglider
swap_send_in_the_pest__pensive_professor	-Send in the Pest +Pensive Professor
swap_oracle_s_restoration__shopkeeper_s_bane	-Oracle's Restoration +Shopkeeper's Bane
swap_oracle_s_restoration__fractal_mascot	-Oracle's Restoration +Fractal Mascot
swap_oracle_s_restoration__thornfist_striker	-Oracle's Restoration +Thornfist Striker
swap_oracle_s_restoration__arnyn_deathbloom_botanist	-Oracle's Restoration +Arnyn, Deathbloom Botanist
swap_oracle_s_restoration__sundering_archaic	-Oracle's Restoration +Sundering Archaic
swap_oracle_s_restoration__spellbook_seeker	-Oracle's Restoration +Spellbook Seeker
swap_oracle_s_restoration__ascendant_dustspeaker	-Oracle's Restoration +Ascendant Dustspeaker
swap_oracle_s_restoration__soaring_stoneglider	-Oracle's Restoration +Soaring Stoneglider
swap_oracle_s_restoration__pensive_professor	-Oracle's Restoration +Pensive Professor
