g3_swap_studious_first_year__thornfist_striker	-Studious First-Year +Thornfist Striker
g3_swap_studious_first_year__fractal_mascot	-Studious First-Year +Fractal Mascot
g3_swap_studious_first_year__arnyn_deathbloom_botanist	-Studious First-Year +Arnyn, Deathbloom Botanist
g3_swap_studious_first_year__spellbook_seeker	-Studious First-Year +Spellbook Seeker
g3_swap_studious_first_year__sundering_archaic	-Studious First-Year +Sundering Archaic
g3_swap_studious_first_year__pensive_professor	-Studious First-Year +Pensive Professor
g3_swap_proctor_s_gaze__thornfist_striker	-Proctor's Gaze +Thornfist Striker
g3_swap_proctor_s_gaze__fractal_mascot	-Proctor's Gaze +Fractal Mascot
g3_swap_proctor_s_gaze__arnyn_deathbloom_botanist	-Proctor's Gaze +Arnyn, Deathbloom Botanist
g3_swap_proctor_s_gaze__spellbook_seeker	-Proctor's Gaze +Spellbook Seeker
g3_swap_proctor_s_gaze__sundering_archaic	-Proctor's Gaze +Sundering Archaic
g3_swap_proctor_s_gaze__pensive_professor	-Proctor's Gaze +Pensive Professor
g3_swap_together_as_one__thornfist_striker	-Together as One +Thornfist Striker
g3_swap_together_as_one__fractal_mascot	-Together as One +Fractal Mascot
g3_swap_together_as_one__arnyn_deathbloom_botanist	-Together as One +Arnyn, Deathbloom Botanist
g3_swap_together_as_one__spellbook_seeker	-Together as One +Spellbook Seeker
g3_swap_together_as_one__sundering_archaic	-Together as One +Sundering Archaic
g3_swap_together_as_one__pensive_professor	-Together as One +Pensive Professor
g3_swap_oracle_s_restoration__thornfist_striker	-Oracle's Restoration +Thornfist Striker
g3_swap_oracle_s_restoration__fractal_mascot	-Oracle's Restoration +Fractal Mascot
g3_swap_oracle_s_restoration__arnyn_deathbloom_botanist	-Oracle's Restoration +Arnyn, Deathbloom Botanist
g3_swap_oracle_s_restoration__spellbook_seeker	-Oracle's Restoration +Spellbook Seeker
g3_swap_oracle_s_restoration__sundering_archaic	-Oracle's Restoration +Sundering Archaic
g3_swap_oracle_s_restoration__pensive_professor	-Oracle's Restoration +Pensive Professor
g3_swap_send_in_the_pest__thornfist_striker	-Send in the Pest +Thornfist Striker
g3_swap_send_in_the_pest__fractal_mascot	-Send in the Pest +Fractal Mascot
g3_swap_send_in_the_pest__arnyn_deathbloom_botanist	-Send in the Pest +Arnyn, Deathbloom Botanist
g3_swap_send_in_the_pest__spellbook_seeker	-Send in the Pest +Spellbook Seeker
g3_swap_send_in_the_pest__sundering_archaic	-Send in the Pest +Sundering Archaic
g3_swap_send_in_the_pest__pensive_professor	-Send in the Pest +Pensive Professor
g3_swap_feed_the_swarm__thornfist_striker	-Feed the Swarm +Thornfist Striker
g3_swap_feed_the_swarm__fractal_mascot	-Feed the Swarm +Fractal Mascot
g3_swap_feed_the_swarm__arnyn_deathbloom_botanist	-Feed the Swarm +Arnyn, Deathbloom Botanist
g3_swap_feed_the_swarm__spellbook_seeker	-Feed the Swarm +Spellbook Seeker
g3_swap_feed_the_swarm__sundering_archaic	-Feed the Swarm +Sundering Archaic
g3_swap_feed_the_swarm__pensive_professor	-Feed the Swarm +Pensive Professor
