r2g1_add_ad_nauseam	+Ad Nauseam -Studious First-Year
r2g1_add_adventurous_eater	+Adventurous Eater -Studious First-Year
r2g1_add_arnyn_deathbloom_botanist	+Arnyn, Deathbloom Botanist -Studious First-Year
r2g1_add_ascendant_dustspeaker	+Ascendant Dustspeaker -Studious First-Year
r2g1_add_brain_freeze	+Brain Freeze -Studious First-Year
r2g1_add_burrog_barrage	+Burrog Barrage -Studious First-Year
r2g1_add_chase_inspiration	+Chase Inspiration -Studious First-Year
r2g1_add_dig_site_inventory	+Dig Site Inventory -Studious First-Year
r2g1_add_dissection_practice	+Dissection Practice -Studious First-Year
r2g1_add_divergent_equation	+Divergent Equation -Studious First-Year
r2g1_add_efflorescence	+Efflorescence -Studious First-Year
r2g1_add_elite_interceptor	+Elite Interceptor -Studious First-Year
r2g1_add_embrace_the_paradox	+Embrace the Paradox -Studious First-Year
r2g1_add_emeritus_of_truce	+Emeritus of Truce -Studious First-Year
r2g1_add_essenceknit_scholar	+Essenceknit Scholar -Studious First-Year
r2g1_add_follow_the_lumarets	+Follow the Lumarets -Studious First-Year
r2g1_add_fractal_mascot	+Fractal Mascot -Studious First-Year
r2g1_add_hop_to_it	+Hop to It -Studious First-Year
r2g1_add_hydro_channeler	+Hydro-Channeler -Studious First-Year
r2g1_add_imperious_inkmage	+Imperious Inkmage -Studious First-Year
r2g1_add_inkling_mascot	+Inkling Mascot -Studious First-Year
r2g1_add_inkshape_demonstrator	+Inkshape Demonstrator -Studious First-Year
r2g1_add_landscape_painter	+Landscape Painter -Studious First-Year
r2g1_add_lecturing_scornmage	+Lecturing Scornmage -Studious First-Year
r2g1_add_melancholic_poet	+Melancholic Poet -Studious First-Year
r2g1_add_muse_s_encouragement	+Muse's Encouragement -Studious First-Year
r2g1_add_oracle_s_restoration	+Oracle's Restoration -Studious First-Year
r2g1_add_page_loose_leaf	+Page, Loose Leaf -Studious First-Year
r2g1_add_pensive_professor	+Pensive Professor -Studious First-Year
r2g1_add_pest_mascot	+Pest Mascot -Studious First-Year
r2g1_add_poisoner_s_apprentice	+Poisoner's Apprentice -Studious First-Year
r2g1_add_procrastinate	+Procrastinate -Studious First-Year
r2g1_add_pull_from_the_grave	+Pull from the Grave -Studious First-Year
r2g1_add_quandrix_charm	+Quandrix Charm -Studious First-Year
r2g1_add_quill_blade_laureate	+Quill-Blade Laureate -Studious First-Year
r2g1_add_rapier_wit	+Rapier Wit -Studious First-Year
r2g1_add_rehearsed_debater	+Rehearsed Debater -Studious First-Year
r2g1_add_scolding_administrator	+Scolding Administrator -Studious First-Year
r2g1_add_soaring_stoneglider	+Soaring Stoneglider -Studious First-Year
r2g1_add_social_snub	+Social Snub -Studious First-Year
r2g1_add_spellbook_seeker	+Spellbook Seeker -Studious First-Year
r2g1_add_stone_docent	+Stone Docent -Studious First-Year
r2g1_add_sundering_archaic	+Sundering Archaic -Studious First-Year
r2g1_add_thornfist_striker	+Thornfist Striker -Studious First-Year
r2g1_add_tragedy_feaster	+Tragedy Feaster -Studious First-Year
r2g1_add_wild_hypothesis	+Wild Hypothesis -Studious First-Year
r2g1_add_witherbloom_charm	+Witherbloom Charm -Studious First-Year
r2g1_add_zimone_s_experiment	+Zimone's Experiment -Studious First-Year
