r2g1_cut_blech_loafing_pest	-Blech, Loafing Pest +Oracle's Restoration
r2g1_cut_emeritus_of_ideation	-Emeritus of Ideation +Oracle's Restoration
r2g1_cut_environmental_scientist	-Environmental Scientist +Oracle's Restoration
r2g1_cut_feed_the_swarm	-Feed the Swarm +Oracle's Restoration
r2g1_cut_knockout_maneuver	-Knockout Maneuver +Oracle's Restoration
r2g1_cut_proctor_s_gaze	-Proctor's Gaze +Oracle's Restoration
r2g1_cut_professor_dellian_fel	-Professor Dellian Fel +Oracle's Restoration
r2g1_cut_rancorous_archaic	-Rancorous Archaic +Oracle's Restoration
r2g1_cut_send_in_the_pest	-Send in the Pest +Oracle's Restoration
r2g1_cut_shopkeeper_s_bane	-Shopkeeper's Bane +Oracle's Restoration
r2g1_cut_slumbering_trudge	-Slumbering Trudge +Oracle's Restoration
r2g1_cut_snarl_song	-Snarl Song +Oracle's Restoration
r2g1_cut_studious_first_year	-Studious First-Year +Oracle's Restoration
r2g1_cut_sundering_archaic	-Sundering Archaic +Oracle's Restoration
r2g1_cut_together_as_one	-Together as One +Oracle's Restoration
r2g1_cut_vastlands_scavenger	-Vastlands Scavenger +Oracle's Restoration
r2g1_cut_wander_off	-Wander Off +Oracle's Restoration
