r2g1_swap_studious_first_year__thornfist_striker	-Studious First-Year +Thornfist Striker
r2g1_swap_studious_first_year__arnyn_deathbloom_botanist	-Studious First-Year +Arnyn, Deathbloom Botanist
r2g1_swap_studious_first_year__fractal_mascot	-Studious First-Year +Fractal Mascot
r2g1_swap_studious_first_year__stone_docent	-Studious First-Year +Stone Docent
r2g1_swap_together_as_one__thornfist_striker	-Together as One +Thornfist Striker
r2g1_swap_together_as_one__arnyn_deathbloom_botanist	-Together as One +Arnyn, Deathbloom Botanist
r2g1_swap_together_as_one__fractal_mascot	-Together as One +Fractal Mascot
r2g1_swap_together_as_one__stone_docent	-Together as One +Stone Docent
r2g1_swap_proctor_s_gaze__thornfist_striker	-Proctor's Gaze +Thornfist Striker
r2g1_swap_proctor_s_gaze__arnyn_deathbloom_botanist	-Proctor's Gaze +Arnyn, Deathbloom Botanist
r2g1_swap_proctor_s_gaze__fractal_mascot	-Proctor's Gaze +Fractal Mascot
r2g1_swap_proctor_s_gaze__stone_docent	-Proctor's Gaze +Stone Docent
