r3g1_add_abstract_paintmage	+Abstract Paintmage -Zimone's Experiment
r3g1_add_ad_nauseam	+Ad Nauseam -Zimone's Experiment
r3g1_add_adventurous_eater	+Adventurous Eater -Zimone's Experiment
r3g1_add_arnyn_deathbloom_botanist	+Arnyn, Deathbloom Botanist -Zimone's Experiment
r3g1_add_ascendant_dustspeaker	+Ascendant Dustspeaker -Zimone's Experiment
r3g1_add_aziza_mage_tower_captain	+Aziza, Mage Tower Captain -Zimone's Experiment
r3g1_add_blazing_firesinger	+Blazing Firesinger -Zimone's Experiment
r3g1_add_borrowed_knowledge	+Borrowed Knowledge -Zimone's Experiment
r3g1_add_brain_freeze	+Brain Freeze -Zimone's Experiment
r3g1_add_bulk_up	+Bulk Up -Zimone's Experiment
r3g1_add_burrog_barrage	+Burrog Barrage -Zimone's Experiment
r3g1_add_chase_inspiration	+Chase Inspiration -Zimone's Experiment
r3g1_add_dig_site_inventory	+Dig Site Inventory -Zimone's Experiment
r3g1_add_dissection_practice	+Dissection Practice -Zimone's Experiment
r3g1_add_efflorescence	+Efflorescence -Zimone's Experiment
r3g1_add_elite_interceptor	+Elite Interceptor -Zimone's Experiment
r3g1_add_embrace_the_paradox	+Embrace the Paradox -Zimone's Experiment
r3g1_add_emeritus_of_truce	+Emeritus of Truce -Zimone's Experiment
r3g1_add_essenceknit_scholar	+Essenceknit Scholar -Zimone's Experiment
r3g1_add_expressive_firedancer	+Expressive Firedancer -Zimone's Experiment
r3g1_add_follow_the_lumarets	+Follow the Lumarets -Zimone's Experiment
r3g1_add_fractal_mascot	+Fractal Mascot -Zimone's Experiment
r3g1_add_goblin_glasswright	+Goblin Glasswright -Zimone's Experiment
r3g1_add_hop_to_it	+Hop to It -Zimone's Experiment
r3g1_add_hydro_channeler	+Hydro-Channeler -Zimone's Experiment
r3g1_add_imperious_inkmage	+Imperious Inkmage -Zimone's Experiment
r3g1_add_inkling_mascot	+Inkling Mascot -Zimone's Experiment
r3g1_add_inkshape_demonstrator	+Inkshape Demonstrator -Zimone's Experiment
r3g1_add_kirol_history_buff	+Kirol, History Buff -Zimone's Experiment
r3g1_add_landscape_painter	+Landscape Painter -Zimone's Experiment
r3g1_add_lecturing_scornmage	+Lecturing Scornmage -Zimone's Experiment
r3g1_add_melancholic_poet	+Melancholic Poet -Zimone's Experiment
r3g1_add_muse_s_encouragement	+Muse's Encouragement -Zimone's Experiment
r3g1_add_oracle_s_restoration	+Oracle's Restoration -Zimone's Experiment
r3g1_add_page_loose_leaf	+Page, Loose Leaf -Zimone's Experiment
r3g1_add_pest_mascot	+Pest Mascot -Zimone's Experiment
r3g1_add_pigment_wrangler	+Pigment Wrangler -Zimone's Experiment
r3g1_add_poisoner_s_apprentice	+Poisoner's Apprentice -Zimone's Experiment
r3g1_add_procrastinate	+Procrastinate -Zimone's Experiment
r3g1_add_pull_from_the_grave	+Pull from the Grave -Zimone's Experiment
r3g1_add_pursue_the_past	+Pursue the Past -Zimone's Experiment
r3g1_add_quill_blade_laureate	+Quill-Blade Laureate -Zimone's Experiment
r3g1_add_rancorous_archaic	+Rancorous Archaic -Zimone's Experiment
r3g1_add_rapier_wit	+Rapier Wit -Zimone's Experiment
r3g1_add_rearing_embermare	+Rearing Embermare -Zimone's Experiment
r3g1_add_rehearsed_debater	+Rehearsed Debater -Zimone's Experiment
r3g1_add_rubble_rouser	+Rubble Rouser -Zimone's Experiment
r3g1_add_scolding_administrator	+Scolding Administrator -Zimone's Experiment
r3g1_add_shopkeeper_s_bane	+Shopkeeper's Bane -Zimone's Experiment
r3g1_add_soaring_stoneglider	+Soaring Stoneglider -Zimone's Experiment
r3g1_add_social_snub	+Social Snub -Zimone's Experiment
r3g1_add_spellbook_seeker	+Spellbook Seeker -Zimone's Experiment
r3g1_add_spirit_mascot	+Spirit Mascot -Zimone's Experiment
r3g1_add_stone_docent	+Stone Docent -Zimone's Experiment
r3g1_add_strife_scholar	+Strife Scholar -Zimone's Experiment
r3g1_add_thornfist_striker	+Thornfist Striker -Zimone's Experiment
r3g1_add_tragedy_feaster	+Tragedy Feaster -Zimone's Experiment
r3g1_add_vastlands_scavenger	+Vastlands Scavenger -Zimone's Experiment
r3g1_add_vibrant_outburst	+Vibrant Outburst -Zimone's Experiment
r3g1_add_visionary_s_dance	+Visionary's Dance -Zimone's Experiment
r3g1_add_wild_hypothesis	+Wild Hypothesis -Zimone's Experiment
r3g1_add_witherbloom_charm	+Witherbloom Charm -Zimone's Experiment
r3g1_add_zealous_lorecaster	+Zealous Lorecaster -Zimone's Experiment
