r3g1_swap_zimone_s_experiment__rancorous_archaic	-Zimone's Experiment +Rancorous Archaic
r3g1_swap_zimone_s_experiment__shopkeeper_s_bane	-Zimone's Experiment +Shopkeeper's Bane
r3g1_swap_zimone_s_experiment__vastlands_scavenger	-Zimone's Experiment +Vastlands Scavenger
r3g1_swap_zimone_s_experiment__thornfist_striker	-Zimone's Experiment +Thornfist Striker
r3g1_swap_divergent_equation__rancorous_archaic	-Divergent Equation +Rancorous Archaic
r3g1_swap_divergent_equation__shopkeeper_s_bane	-Divergent Equation +Shopkeeper's Bane
r3g1_swap_divergent_equation__vastlands_scavenger	-Divergent Equation +Vastlands Scavenger
r3g1_swap_divergent_equation__thornfist_striker	-Divergent Equation +Thornfist Striker
r3g1_swap_arcane_omens__rancorous_archaic	-Arcane Omens +Rancorous Archaic
r3g1_swap_arcane_omens__shopkeeper_s_bane	-Arcane Omens +Shopkeeper's Bane
r3g1_swap_arcane_omens__vastlands_scavenger	-Arcane Omens +Vastlands Scavenger
r3g1_swap_arcane_omens__thornfist_striker	-Arcane Omens +Thornfist Striker
