r3bg1_add_ad_nauseam	+Ad Nauseam -Send in the Pest
r3bg1_add_adventurous_eater	+Adventurous Eater -Send in the Pest
r3bg1_add_arcane_omens	+Arcane Omens -Send in the Pest
r3bg1_add_arnyn_deathbloom_botanist	+Arnyn, Deathbloom Botanist -Send in the Pest
r3bg1_add_ascendant_dustspeaker	+Ascendant Dustspeaker -Send in the Pest
r3bg1_add_brain_freeze	+Brain Freeze -Send in the Pest
r3bg1_add_burrog_barrage	+Burrog Barrage -Send in the Pest
r3bg1_add_chase_inspiration	+Chase Inspiration -Send in the Pest
r3bg1_add_dig_site_inventory	+Dig Site Inventory -Send in the Pest
r3bg1_add_dissection_practice	+Dissection Practice -Send in the Pest
r3bg1_add_divergent_equation	+Divergent Equation -Send in the Pest
r3bg1_add_efflorescence	+Efflorescence -Send in the Pest
r3bg1_add_elite_interceptor	+Elite Interceptor -Send in the Pest
r3bg1_add_embrace_the_paradox	+Embrace the Paradox -Send in the Pest
r3bg1_add_emeritus_of_truce	+Emeritus of Truce -Send in the Pest
r3bg1_add_essenceknit_scholar	+Essenceknit Scholar -Send in the Pest
r3bg1_add_follow_the_lumarets	+Follow the Lumarets -Send in the Pest
r3bg1_add_fractal_mascot	+Fractal Mascot -Send in the Pest
r3bg1_add_hop_to_it	+Hop to It -Send in the Pest
r3bg1_add_hydro_channeler	+Hydro-Channeler -Send in the Pest
r3bg1_add_imperious_inkmage	+Imperious Inkmage -Send in the Pest
r3bg1_add_inkling_mascot	+Inkling Mascot -Send in the Pest
r3bg1_add_inkshape_demonstrator	+Inkshape Demonstrator -Send in the Pest
r3bg1_add_landscape_painter	+Landscape Painter -Send in the Pest
r3bg1_add_lecturing_scornmage	+Lecturing Scornmage -Send in the Pest
r3bg1_add_melancholic_poet	+Melancholic Poet -Send in the Pest
r3bg1_add_muse_s_encouragement	+Muse's Encouragement -Send in the Pest
r3bg1_add_oracle_s_restoration	+Oracle's Restoration -Send in the Pest
r3bg1_add_page_loose_leaf	+Page, Loose Leaf -Send in the Pest
r3bg1_add_pensive_professor	+Pensive Professor -Send in the Pest
r3bg1_add_pest_mascot	+Pest Mascot -Send in the Pest
r3bg1_add_poisoner_s_apprentice	+Poisoner's Apprentice -Send in the Pest
r3bg1_add_procrastinate	+Procrastinate -Send in the Pest
r3bg1_add_pull_from_the_grave	+Pull from the Grave -Send in the Pest
r3bg1_add_quandrix_charm	+Quandrix Charm -Send in the Pest
r3bg1_add_quill_blade_laureate	+Quill-Blade Laureate -Send in the Pest
r3bg1_add_rapier_wit	+Rapier Wit -Send in the Pest
r3bg1_add_rehearsed_debater	+Rehearsed Debater -Send in the Pest
r3bg1_add_scolding_administrator	+Scolding Administrator -Send in the Pest
r3bg1_add_shared_roots	+Shared Roots -Send in the Pest
r3bg1_add_soaring_stoneglider	+Soaring Stoneglider -Send in the Pest
r3bg1_add_social_snub	+Social Snub -Send in the Pest
r3bg1_add_spellbook_seeker	+Spellbook Seeker -Send in the Pest
r3bg1_add_stone_docent	+Stone Docent -Send in the Pest
r3bg1_add_sundering_archaic	+Sundering Archaic -Send in the Pest
r3bg1_add_thornfist_striker	+Thornfist Striker -Send in the Pest
r3bg1_add_tragedy_feaster	+Tragedy Feaster -Send in the Pest
r3bg1_add_wild_hypothesis	+Wild Hypothesis -Send in the Pest
r3bg1_add_witherbloom_charm	+Witherbloom Charm -Send in the Pest
r3bg1_add_zimone_s_experiment	+Zimone's Experiment -Send in the Pest
