r3bg1_swap_send_in_the_pest__thornfist_striker	-Send in the Pest +Thornfist Striker
r3bg1_swap_send_in_the_pest__fractal_mascot	-Send in the Pest +Fractal Mascot
r3bg1_swap_send_in_the_pest__pensive_professor	-Send in the Pest +Pensive Professor
r3bg1_swap_send_in_the_pest__stone_docent	-Send in the Pest +Stone Docent
r3bg1_swap_wander_off__thornfist_striker	-Wander Off +Thornfist Striker
r3bg1_swap_wander_off__fractal_mascot	-Wander Off +Fractal Mascot
r3bg1_swap_wander_off__pensive_professor	-Wander Off +Pensive Professor
r3bg1_swap_wander_off__stone_docent	-Wander Off +Stone Docent
r3bg1_swap_studious_first_year__thornfist_striker	-Studious First-Year +Thornfist Striker
r3bg1_swap_studious_first_year__fractal_mascot	-Studious First-Year +Fractal Mascot
r3bg1_swap_studious_first_year__pensive_professor	-Studious First-Year +Pensive Professor
r3bg1_swap_studious_first_year__stone_docent	-Studious First-Year +Stone Docent
